reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,text.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
4,9,36,0,11,11,10,75.3851535001304,76.38424729998223,76.38424729998223,76.38424729998223,t,1.641281699994579,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
49,51,98,0,12,12,53,78.0514366000425,79.05134880007245,79.05134880007245,79.05134880007245,t,2.633283199975267,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
37,39,14,0,13,13,41,81.70170309999958,82.70119259995408,82.70119259995408,82.70119259995408,l,2.8414237000979483,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
26,28,12,0,14,14,30,85.58191450010054,86.5677527000662,86.5677527000662,86.58447519992478,l,1.4602276999503374,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
6,10,54,0,15,15,12,88.0517669999972,89.05103660002351,89.05103660002351,89.05103660002351,t,1.5356693000067025,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
52,54,33,0,16,16,56,90.61700590001419,91.61696140002459,91.61696140002459,91.61696140002459,t,2.6041776998899877,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
68,74,50,0,17,17,72,94.25164650008082,95.25121000013314,95.25121000013314,95.25121000013314,l,2.5110353999771178,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
85,108,24,0,18,18,89,97.78468560008332,98.78448459994979,98.78448459994979,98.78448459994979,l,1.2479964999947697,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
10,14,8,0,19,19,16,100.06538209994324,101.05089569999836,101.05089569999836,101.06752069992945,l,1.4323257999494672,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
51,53,22,0,20,20,55,102.51510570012033,103.50120169995353,103.50120169995353,103.5176524000708,t,1.8015035998541862,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
24,26,104,0,21,21,28,105.33423859998584,106.33426859998144,106.33426859998144,106.33426859998144,t,1.5928016998805106,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
73,84,75,0,22,22,77,107.9515746999532,108.95113030006178,108.95113030006178,108.95113030006178,t,3.2016938000451773,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
18,20,56,0,23,23,22,112.18359540007077,113.18433800013736,113.18433800013736,113.18433800013736,t,3.2690470998641104,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
17,19,48,0,24,24,21,116.48372119991109,117.48430359992199,117.48430359992199,117.48430359992199,t,1.9984234999865294,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
30,32,36,0,25,25,34,119.50168880005367,120.500914900098,120.500914900098,120.500914900098,t,3.901122000068426,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
83,104,18,0,26,26,87,124.43386569991708,125.43469900009222,125.43469900009222,125.43469900009222,l,1.7420230999123305,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
55,59,66,0,27,27,59,127.20113130006939,128.20104960002936,128.20104960002936,128.20104960002936,t,1.7431256999261677,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
82,102,15,0,28,28,86,129.96839209995233,130.96775800012983,130.96775800012983,130.96775800012983,l,1.7133847000077367,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
32,34,48,0,29,29,36,132.7017725999467,133.70102820009924,133.70102820009924,133.70102820009924,t,2.048485599923879,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
93,99,48,0,30,30,97,135.76826149993576,136.76787450001575,136.76787450001575,136.76787450001575,t,2.131346100009978,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
66,70,40,0,31,31,70,138.91744749993086,139.9176573001314,139.9176573001314,139.9176573001314,t,2.188156300224364,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
72,82,70,0,32,32,76,142.13408330013044,143.13452280010097,143.13452280010097,143.13452280010097,t,3.4512396999634802,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
70,78,60,0,33,33,74,146.6172098000534,147.617718399968,147.617718399968,147.617718399968,t,1.1925659999251366,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
78,80,162,0,34,34,6,148.84853630000725,149.83451410010457,149.83451410010457,149.85178979998454,t,1.622139599872753,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
12,15,16,0,35,35,17,151.48407140001655,152.48437830014154,152.48437830014154,152.48437830014154,l,1.3620025001000613,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
71,80,65,0,36,36,75,153.8683726999443,154.86754729994573,154.86754729994573,154.86754729994573,l,1.7249630999285728,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
56,60,77,0,37,37,60,156.61849569994956,157.6175792000722,157.6175792000722,157.6175792000722,t,1.304475799901411,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
45,47,70,0,38,38,49,158.9650260999333,159.95105540007353,159.95105540007353,159.9676159999799,t,1.8754130001179874,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
84,106,21,0,39,39,88,161.86512800003402,162.8507998001296,162.8507998001296,162.867325700121,l,2.593562199966982,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
88,114,33,0,40,40,92,165.46756289992481,166.46762110013515,166.46762110013515,166.46762110013515,l,0.8749180000741035,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
74,86,80,0,41,41,78,167.3682844999712,168.36771630006842,168.36771630006842,168.36771630006842,l,1.18969799997285,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
27,50,21,0,42,42,2,169.58429110003635,170.58444919995964,170.58444919995964,170.58444919995964,l,1.3276941999793053,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
67,75,119,0,43,43,5,171.93495679995976,172.93423889996484,172.93423889996484,172.93423889996484,t,1.9457116001285613,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
34,36,60,0,44,44,38,174.90216040005907,175.90116719994694,175.90116719994694,175.91757689998485,t,1.8823178000748158,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
54,58,55,0,45,45,58,177.80170430010185,178.80103219999,178.80103219999,178.80103219999,t,3.241074400022626,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
81,100,12,0,46,46,85,182.06839750008658,183.06783920014277,183.06783920014277,183.06783920014277,l,1.3015827999915928,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
87,112,30,0,47,47,91,184.40043259994127,185.40083190007135,185.40083190007135,185.40083190007135,t,1.7432365000713617,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
89,116,36,0,48,48,93,187.1684133000672,188.16768119996414,188.16768119996414,188.16768119996414,l,1.5279375999234617,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
13,16,24,0,49,49,18,189.731858599931,190.71784600010142,190.71784600010142,190.73452379996888,l,1.098307800013572,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
40,42,35,0,50,50,44,191.8486574999988,192.8345474000089,192.8345474000089,192.8510909001343,t,1.2864169999957085,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
78,94,3,0,51,51,82,194.18164080008864,195.16788540012203,195.16788540012203,195.184630200034,l,2.059926199959591,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
7,11,63,0,52,52,13,197.26510590012185,198.2510357000865,198.2510357000865,198.26759260008112,t,1.0355953997932374,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
67,72,45,0,53,53,71,199.31761069991626,200.31714579998516,200.31714579998516,200.31714579998516,t,1.2983193998225033,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
3,8,27,0,54,54,9,201.634867799934,202.6337514000479,202.6337514000479,202.6503073000349,t,1.8877828000113368,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
46,48,77,0,55,55,50,204.55177489994094,205.55100350012071,205.55100350012071,205.55100350012071,t,1.6542376999277622,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
61,65,15,0,56,56,65,207.24857149994932,208.23435740009882,208.23435740009882,208.25110260001384,l,2.298581999959424,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
44,46,63,0,57,57,48,210.5509379999712,211.55082250013947,211.55082250013947,211.55082250013947,t,0.8324460000731051,None,2,001,2023-11-03_12h50.19.891,delay_discounting,2023.1.3,59.9819934220857,
